,Question,Answer,Label,predicted_label
1,Which gases show a consistent relationship with the Subnets's curve in terms of emissions and per capita GDP?,"The gases CO2 and SPM show a consistent relationship with the Subnets's curve in terms of emissions and per capita GDP. This means that their emissions increase as per capita GDP increases up to a certain threshold, after which they start to decrease. This can be attributed to the characteristics of the fuels and vehicles used in those cities, such as the large share of diesel cars.",analysis,analysis
4,What is the percentage of residents travelling by private cars daily?,The annual average concentration of NO2 and PM in the city is measured as part of the indicators used to assess the effectiveness of a SUMP. These indicators provide data on air quality and pollution levels in the city.,analysis,analysis
6,What are the challenges faced in making cycling a daily transport mode in Istanbul?,"The lack of integration with other modes, road safety problems, lack of cycling culture, and hilly terrains make cycling mostly a leisure mode instead of being part of daily commute in Istanbul.",strategy,strategy
18,Does the public need to be involved in transport decision-making?,"No, the public does not need to be involved as it makes decision-making more complicated and lengthier.",ethics_and_regulation,strategy
36,What is the opinion of the group towards electric cars making up at least one half of all cars running in cities by 2030?,The group strongly disagrees with this statement.,ethics_and_regulation,ethics_and_regulation
39,What is the main argument against public transport's ability to reduce car ownership and use significantly?,The main argument is that public transport will never be good enough.,strategy,analysis
40,What is the educational background of the majority of the respondents?,The majority of the respondents have university education.,science_and_tech,science_and_tech
44,What is the average work experience of the respondents?,The respondents have an average of 14 years of work experience.,science_and_tech,science_and_tech
48,What distinguishes Factor 2 on the disagreement side?,The statement that shopping areas with good public transport accessibility do not need large parking areas.,analysis,analysis
55,What does this opinion subgroup expect in terms of public transport?,They expect that public transport will never be a mode equally competing with cars in terms of speed and comfort.,strategy,analysis
63,How accurately can annual emissions for a typical whole city be determined for road traffic?,Annual emissions for a typical whole city can be determined to within a factor of two or better using either method.,analysis,science_and_tech
66,How do buildings alongside roads contribute to increased concentrations of vehicle exhaust?,"Buildings alongside roads shelter the road, reducing the wind speed at the source of emissions. This increases the concentrations of vehicle exhaust and contributes to higher pollutant concentrations at the kerbside.",analysis,analysis
85,What is the potential limitation of using emissions inventories to assess transport contribution to local air quality?,"One potential limitation is that emissions inventories may ignore sources outside the area being inventoried. Sources outside the area could still make a significant contribution to local air quality, even if they are not included in the inventory. Therefore, relying solely on the emissions inventory may result in an inaccurate assessment of the transport contribution to local air quality.",analysis,ethics_and_regulation
86,Why is rail transport omitted from this review?,"Rail transport is omitted from this review because the major issues concerning emissions, source-receptor relationships, and multipollutant multi-effect analysis can be adequately illustrated by the examples discussed in depth. Additionally, the net impact of rail transport on air quality is beneficial when considering the reduction in road traffic achievable by increased rail use.",analysis,analysis
98,What were the international agreements in the 1970s and 1980s aimed at reducing air pollution emissions?,The international agreements in the 1970s and 1980s aimed at reducing air pollution emissions were the Geneva agreement in 1979 and the Helsinki agreement in 1985.,ethics_and_regulation,ethics_and_regulation
111,What were the concerns regarding aircraft and ozone depletion?,"There were concerns that emissions from aircraft, such as sulphur dioxide, soot, and oxides of nitrogen, could contribute to ozone depletion.",analysis,analysis
128,How can cities make public transportation more appealing to potential users in terms of safety and security?,"Increasing the number of well-lit stations, improving signage and way finding, and increasing the presence of security personnel can improve the perception of safety for public transportation users.",strategy,strategy
129,How can cities improve the reliability of public transportation systems?,"Investing in the maintenance and upgrading of infrastructure, improving the frequency and punctuality of service, and using real-time data and predictive analytics can all help improve the reliability of public transportation systems.",strategy,strategy
138,Why are there fewer studies comparing car and public transport accessibility evaluations?,"Public transport is more accessible to low-income groups, making it a priority for equity considerations. - Cars are not as widely used as other modes of transportation, making them less of a focus for evaluation studies. - The focus on urban settings excludes peri urban and rural areas where car ownership is necessary for accessing opportunities.",analysis,analysis
153,What are the potential benefits of implementing a congestion charge in cities?,"The potential benefits of implementing a congestion charge include reducing traffic congestion, improving air quality, funding public transportation and infrastructure, improving public safety, promoting sustainable land use patterns, and reducing transportation costs.",strategy,analysis
164,What percentage of respondents in the Croatian survey do not know or cannot estimate how smart AVs are as a mobility solution?,21% of respondents do not know or cannot estimate how smart AVs are as a mobility solution.,analysis,science_and_tech
188,What is the emission rate of a regular bus in terms of CO2-eq per passenger-kilometre?,A regular bus emits 108.96 g CO2-eqÂ·pkm-1.,science_and_tech,science_and_tech
219,What are the components of smart cities?,"According to Lombardi et al. (2012), the components of smart cities include the smart economy, smart mobility, smart environment, smart people, smart living, and smart governance.",taxonomy,taxonomy
222,What are the potential consequences of not implementing taxes on negative externalities?,"According to Robin Chase, co-founder of Zip car, the absence of taxes on negative externalities and reliance on investor-financed platforms could lead to increased income inequality and a lack of concern for environmental deterioration.",analysis,analysis
227,What is the most sustainable scenario for transport-related air quality policies according to the analysis?,"According to the analysis, Scenario 3 (S3) is identified as the most sustainable scenario for transport-related air quality policies.",analysis,analysis
232,What are some potential opportunities for ambitious action on transport and climate change?,"According to the Partnership on Sustainable Low Carbon Transport, the Intended Nationally-Determined Contributions (Indus) offer opportunities for ambitious action on transport and climate change.",strategy,strategy
235,What is the modal share of active transport modes in Thessaloniki compared to Athens?,"According to the Sustainable Mobility Plan of Thessaloniki, 14% of trips in Thessaloniki were made on foot and bicycle, while in Athens, this share was lower than 10% in the last travel behaviour survey.",science_and_tech,analysis
238,What is the definition of sustainable mobility according to the UN Brundtland Commission?,"According to the UN Brundtland Commission, sustainable mobility satisfies the needs of present generations without compromising future generations' ability to satisfy their own needs.",taxonomy,ethics_and_regulation
244,How does considering exposure at the place of work affect population-level exposure to pollutants?,"Accounting for exposure to PM2.5 and O3 at the place of work results in negligible exposure differences at the population level. However, considering exposure to NO2 at the place of work increases the population-weighted mean exposure by 0.3 kg m-3 (or 2%) compared to using residential location only to calculate potential exposure.",analysis,analysis
251,Why are age and gender rarely considered in current accessibility evaluations?,"Age and gender are rarely considered in current accessibility evaluations despite their relevance because there is an assumption that the ""generic"" or ""average"" user is male and fully able to move autonomously.",ethics_and_regulation,ethics_and_regulation
265,How many premature mortalities per year are estimated to be caused by additional NO2 exposure in the UK?,Approximately 1000 premature mortalities per year.,science_and_tech,analysis
269,What are the applications of artificial intelligence and machine learning in smart cities?,"Artificial intelligence and machine learning have various applications in smart cities, such as traffic management, energy optimization, and waste management. They can analyse large amounts of data to provide real-time insights and make predictions, enabling more efficient and sustainable urban services. For example, AI and machine learning algorithms can be used to optimize traffic signal timings, reduce energy consumption in buildings, and optimize waste collection routes.",science_and_tech,science_and_tech
274,Why does assuming that residential addresses represent overall exposure introduce potential bias?,"Assuming that residential addresses represent overall exposure introduces potential bias because it does not take into account population mobility, such as commuting to work or other locations, which can result in different levels of exposure to air pollution.",analysis,analysis
279,What are some challenges and opportunities for sustainable mobility in auto-dominated metro Boston post-COVID-19?,Basu and Ferreira (2021) discuss the challenges and opportunities for sustainable mobility in auto-dominated metro Boston post-COVID-19.,analysis,analysis
290,What is the relationship between urban form and sustainable development?,"Brewery et al. (1992) discuss the relationship between urban form and sustainable development, highlighting the importance of designing cities and communities that promote environmental sustainability.",analysis,analysis
297,How does BRT investment benefit lower-income groups more than higher-income groups?,"BRT investment is progressive, meaning that the benefits of BRT exceed the costs by a larger proportion for lower-income groups compared to higher-income groups. This is because the concentration of benefits, such as time savings, is higher among BRT users in the lower- and medium-income groups.",analysis,analysis
301,What are the challenges with buildings today in terms of energy consumption and waste?,"Buildings today are responsible for more than 33% of energy consumption, and they produce 32% of greenhouse gas emissions and 20% of waste energy. This highlights the inefficiency of buildings as energy consumers and the need for improvements in energy conservation and waste management.",analysis,analysis
302,What is the most preferred mode of transport in both rural and urban India?,Buses are the most preferred mode of transport in both rural and urban India.,science_and_tech,science_and_tech
307,What potential benefits can be achieved by leveraging people's behavioural change in transportation?,"By leveraging people's behavioural change in transportation, it is possible to achieve a brand-new transportation model that enhances both the economic and social quality of cities.",strategy,strategy
311,What are the benefits of leveraging data and analytics in sustainable transportation planning?,"By using data and analytics, sustainable transportation planners can make more informed decisions that improve the efficiency and effectiveness of transportation systems.",science_and_tech,strategy
326,What are some infrastructure changes that need to be made for the integration of electric vehicles?,Charging stations and places for battery storage need to be implemented.,science_and_tech,strategy
335,How can citizen participation contribute to the development of smart cities?,"Citizen participation can contribute to the development of smart cities by providing valuable insights and feedback on various initiatives, helping to ensure that the needs and preferences of the community are taken into account. This can lead to more effective and user-friendly solutions that address specific challenges and improve the overall quality of life in the city.",ethics_and_regulation,strategy
343,How do Croatian responders compare to UNIFORM responders in accepting new technological solutions for mobility?,"Comparing the results among UNIFORM survey and Croatian survey, it is evident that Croatian responders have more limitations in accepting new technological solutions for mobility in the future.",analysis,analysis
351,What are the potential benefits of controlling shipping in port?,Controlling shipping in port was shown to greatly benefit the immediate local environment.,analysis,analysis
352,What have cost-benefit studies revealed about reducing emissions from marine transport?,"Cost-benefit studies have indicated significant benefits from reducing emissions from marine transport. However, it is important to differentiate between shipping emissions in ports and close to coasts versus those out to sea, which is not currently covered by the Integrated Assessment Models used for analysis.",analysis,analysis
380,How have land use policies and excessive land speculation affected the availability of affordable housing along the BRT corridors in Curitiba?,Duarte and Ultramarine (2011) argue that restrictive zoning policies and excessive land speculation have led to limited availability of affordable housing along the BRT corridors in Curitiba. This has resulted in many passengers commuting long distances from peripheral towns to the city centre for work.,analysis,analysis
381,What did Duluth et al. conclude in their analysis of accidents in BRT systems?,"Duluth et al. concluded that road safety on bus systems is primarily an issue of pedestrian safety, as 54% of fatalities on and around busways were pedestrians.",analysis,analysis
385,How can E-Bike Cities reduce the weather sensitivity for cycling?,E-Bike Cities could incorporate existing biodiversity efforts connecting green spaces to create a primary network of cycling streets where greenery protects against rain and heat. This would reduce the weather sensitivity for cycling by providing shelter and reducing the impact of rainfall and heat.,strategy,strategy
400,How do electric vehicles compare to combustion engine vehicles in terms of their life cycle assessment?,Electric vehicles were reviewed and compared to combustion engine vehicles in terms of their life cycle assessment.,science_and_tech,analysis
427,What is the main type of energy used in Tunisia?,"Fossil fuel, with a share around 70% of total national energy use.",science_and_tech,science_and_tech
